anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	PDGFRA;KRAS	0	primary	619
1	LN_SU_FLN1	0	PDGFRA;KRAS	0	metastasis	619
0	primary_SU_T1	1	ATR;HGF	1	primary	468
1	LN_SU_FLN1	1	ATR;HGF	1	metastasis	468
0	primary_SU_T1	2	COL5A1;PAX5	1	primary	187
1	LN_SU_FLN1	2	COL5A1;PAX5	0	metastasis	187
0	primary_SU_T1	3	KMT2C;NFE2L2	1	primary	103
1	LN_SU_FLN1	3	KMT2C;NFE2L2	1	metastasis	103
0	primary_SU_T1	4	FAT1	1	primary	74
1	LN_SU_FLN1	4	FAT1	0	metastasis	74
0	primary_SU_T1	5	MSH3;SPTA1	0	primary	67
1	LN_SU_FLN1	5	MSH3;SPTA1	0	metastasis	67
0	primary_SU_T1	6	PDGFRA	1	primary	61
1	LN_SU_FLN1	6	PDGFRA	1	metastasis	61
0	primary_SU_T1	7	SOX9	1	primary	48
1	LN_SU_FLN1	7	SOX9	0	metastasis	48
0	primary_SU_T1	8	FAM213B;SELP	1	primary	42
1	LN_SU_FLN1	8	FAM213B;SELP	0	metastasis	42
0	primary_SU_T1	9	DLGAP3;SYCP1	1	primary	30
1	LN_SU_FLN1	9	DLGAP3;SYCP1	0	metastasis	30
0	primary_SU_T1	10	NCOR1	1	primary	27
1	LN_SU_FLN1	10	NCOR1	0	metastasis	27
0	primary_SU_T1	11	SPTA1	1	primary	17
1	LN_SU_FLN1	11	SPTA1	0	metastasis	17
0	primary_SU_T1	12	ADAMTSL4;PRRC2C	1	primary	16
1	LN_SU_FLN1	12	ADAMTSL4;PRRC2C	0	metastasis	16
0	primary_SU_T1	13	ABL1	1	primary	13
1	LN_SU_FLN1	13	ABL1	0	metastasis	13
0	primary_SU_T1	14	NBAS;DYSF	1	primary	13
1	LN_SU_FLN1	14	NBAS;DYSF	0	metastasis	13
0	primary_SU_T1	15	CSRNP3;OR5K1	1	primary	13
1	LN_SU_FLN1	15	CSRNP3;OR5K1	0	metastasis	13
0	primary_SU_T1	16	SPTA1	0	primary	10
1	LN_SU_FLN1	16	SPTA1	1	metastasis	10
0	primary_SU_T1	17	OR2B11;IQSEC1	1	primary	10
1	LN_SU_FLN1	17	OR2B11;IQSEC1	0	metastasis	10
0	primary_SU_T1	18	CHD5;FSIP2	1	primary	9
1	LN_SU_FLN1	18	CHD5;FSIP2	0	metastasis	9
0	primary_SU_T1	19	OR10T2;HNRNPU	1	primary	9
1	LN_SU_FLN1	19	OR10T2;HNRNPU	0	metastasis	9
0	primary_SU_T1	20	OR6K6;RABGAP1L	1	primary	9
1	LN_SU_FLN1	20	OR6K6;RABGAP1L	0	metastasis	9
0	primary_SU_T1	21	MUL1;INSRR	1	primary	8
1	LN_SU_FLN1	21	MUL1;INSRR	0	metastasis	8
0	primary_SU_T1	22	C1orf112;LAPTM4A	1	primary	8
1	LN_SU_FLN1	22	C1orf112;LAPTM4A	0	metastasis	8
0	primary_SU_T1	23	MAP3K4	1	primary	6
1	LN_SU_FLN1	23	MAP3K4	0	metastasis	6
0	primary_SU_T1	24	CPLX1;ACOX3	1	primary	6
1	LN_SU_FLN1	24	CPLX1;ACOX3	0	metastasis	6
0	primary_SU_T1	25	CTNNA2;NKD2	1	primary	6
1	LN_SU_FLN1	25	CTNNA2;NKD2	0	metastasis	6
0	primary_SU_T1	26	AMER3;MORC1	1	primary	5
1	LN_SU_FLN1	26	AMER3;MORC1	0	metastasis	5
0	primary_SU_T1	27	FGGY;LAMB1	0	primary	5
1	LN_SU_FLN1	27	FGGY;LAMB1	1	metastasis	5
0	primary_SU_T1	28	DNM3;RP5-1132H15.1	1	primary	5
1	LN_SU_FLN1	28	DNM3;RP5-1132H15.1	0	metastasis	5
0	primary_SU_T1	29	BCL9;ABHD14B	1	primary	5
1	LN_SU_FLN1	29	BCL9;ABHD14B	0	metastasis	5
