anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	CRUK0620_SU_LN1	0	DICER1;KIF1A	0	metastasis	659
1	CRUK0620_SU_T1	0	DICER1;KIF1A	0	primary	659
2	CRUK0620_SU_T2	0	DICER1;KIF1A	0	primary	659
3	CRUK0620_SU_FLN3	0	DICER1;KIF1A	0	metastasis	659
4	CRUK0620_SU_FLN2	0	DICER1;KIF1A	0	metastasis	659
0	CRUK0620_SU_LN1	1	MACF1;MSH3	0	metastasis	176
1	CRUK0620_SU_T1	1	MACF1;MSH3	0	primary	176
2	CRUK0620_SU_T2	1	MACF1;MSH3	1	primary	176
3	CRUK0620_SU_FLN3	1	MACF1;MSH3	0	metastasis	176
4	CRUK0620_SU_FLN2	1	MACF1;MSH3	0	metastasis	176
0	CRUK0620_SU_LN1	2	MLH1;NF2	1	metastasis	149
1	CRUK0620_SU_T1	2	MLH1;NF2	0	primary	149
2	CRUK0620_SU_T2	2	MLH1;NF2	0	primary	149
3	CRUK0620_SU_FLN3	2	MLH1;NF2	1	metastasis	149
4	CRUK0620_SU_FLN2	2	MLH1;NF2	1	metastasis	149
0	CRUK0620_SU_LN1	3	MET;POLQ	0	metastasis	73
1	CRUK0620_SU_T1	3	MET;POLQ	0	primary	73
2	CRUK0620_SU_T2	3	MET;POLQ	1	primary	73
3	CRUK0620_SU_FLN3	3	MET;POLQ	0	metastasis	73
4	CRUK0620_SU_FLN2	3	MET;POLQ	0	metastasis	73
0	CRUK0620_SU_LN1	4	COL5A1;TBX3	0	metastasis	62
1	CRUK0620_SU_T1	4	COL5A1;TBX3	0	primary	62
2	CRUK0620_SU_T2	4	COL5A1;TBX3	1	primary	62
3	CRUK0620_SU_FLN3	4	COL5A1;TBX3	0	metastasis	62
4	CRUK0620_SU_FLN2	4	COL5A1;TBX3	0	metastasis	62
0	CRUK0620_SU_LN1	5	CTPS1;DMRTA2	0	metastasis	53
1	CRUK0620_SU_T1	5	CTPS1;DMRTA2	0	primary	53
2	CRUK0620_SU_T2	5	CTPS1;DMRTA2	1	primary	53
3	CRUK0620_SU_FLN3	5	CTPS1;DMRTA2	0	metastasis	53
4	CRUK0620_SU_FLN2	5	CTPS1;DMRTA2	0	metastasis	53
0	CRUK0620_SU_LN1	6	MACF1	0	metastasis	32
1	CRUK0620_SU_T1	6	MACF1	0	primary	32
2	CRUK0620_SU_T2	6	MACF1	1	primary	32
3	CRUK0620_SU_FLN3	6	MACF1	0	metastasis	32
4	CRUK0620_SU_FLN2	6	MACF1	0	metastasis	32
0	CRUK0620_SU_LN1	7	CACNA1E;HS1BP3	0	metastasis	26
1	CRUK0620_SU_T1	7	CACNA1E;HS1BP3	0	primary	26
2	CRUK0620_SU_T2	7	CACNA1E;HS1BP3	1	primary	26
3	CRUK0620_SU_FLN3	7	CACNA1E;HS1BP3	0	metastasis	26
4	CRUK0620_SU_FLN2	7	CACNA1E;HS1BP3	0	metastasis	26
0	CRUK0620_SU_LN1	8	COL5A1	0	metastasis	19
1	CRUK0620_SU_T1	8	COL5A1	0	primary	19
2	CRUK0620_SU_T2	8	COL5A1	1	primary	19
3	CRUK0620_SU_FLN3	8	COL5A1	0	metastasis	19
4	CRUK0620_SU_FLN2	8	COL5A1	0	metastasis	19
0	CRUK0620_SU_LN1	9	ADORA1;COL8A1	0	metastasis	15
1	CRUK0620_SU_T1	9	ADORA1;COL8A1	0	primary	15
2	CRUK0620_SU_T2	9	ADORA1;COL8A1	1	primary	15
3	CRUK0620_SU_FLN3	9	ADORA1;COL8A1	0	metastasis	15
4	CRUK0620_SU_FLN2	9	ADORA1;COL8A1	0	metastasis	15
0	CRUK0620_SU_LN1	10	VWA5B1;PTP4A2	0	metastasis	15
1	CRUK0620_SU_T1	10	VWA5B1;PTP4A2	0	primary	15
2	CRUK0620_SU_T2	10	VWA5B1;PTP4A2	1	primary	15
3	CRUK0620_SU_FLN3	10	VWA5B1;PTP4A2	0	metastasis	15
4	CRUK0620_SU_FLN2	10	VWA5B1;PTP4A2	0	metastasis	15
0	CRUK0620_SU_LN1	11	C3orf55;GALNTL6	0	metastasis	13
1	CRUK0620_SU_T1	11	C3orf55;GALNTL6	0	primary	13
2	CRUK0620_SU_T2	11	C3orf55;GALNTL6	1	primary	13
3	CRUK0620_SU_FLN3	11	C3orf55;GALNTL6	0	metastasis	13
4	CRUK0620_SU_FLN2	11	C3orf55;GALNTL6	0	metastasis	13
0	CRUK0620_SU_LN1	12	PEX10;DLGAP3	0	metastasis	11
1	CRUK0620_SU_T1	12	PEX10;DLGAP3	0	primary	11
2	CRUK0620_SU_T2	12	PEX10;DLGAP3	0	primary	11
3	CRUK0620_SU_FLN3	12	PEX10;DLGAP3	0	metastasis	11
4	CRUK0620_SU_FLN2	12	PEX10;DLGAP3	1	metastasis	11
0	CRUK0620_SU_LN1	13	ZBTB17;PLXNB1	0	metastasis	10
1	CRUK0620_SU_T1	13	ZBTB17;PLXNB1	0	primary	10
2	CRUK0620_SU_T2	13	ZBTB17;PLXNB1	1	primary	10
3	CRUK0620_SU_FLN3	13	ZBTB17;PLXNB1	0	metastasis	10
4	CRUK0620_SU_FLN2	13	ZBTB17;PLXNB1	0	metastasis	10
0	CRUK0620_SU_LN1	14	FAM78B;SLC4A1AP	0	metastasis	9
1	CRUK0620_SU_T1	14	FAM78B;SLC4A1AP	0	primary	9
2	CRUK0620_SU_T2	14	FAM78B;SLC4A1AP	1	primary	9
3	CRUK0620_SU_FLN3	14	FAM78B;SLC4A1AP	0	metastasis	9
4	CRUK0620_SU_FLN2	14	FAM78B;SLC4A1AP	0	metastasis	9
0	CRUK0620_SU_LN1	15	GNAS	0	metastasis	9
1	CRUK0620_SU_T1	15	GNAS	1	primary	9
2	CRUK0620_SU_T2	15	GNAS	0	primary	9
3	CRUK0620_SU_FLN3	15	GNAS	0	metastasis	9
4	CRUK0620_SU_FLN2	15	GNAS	0	metastasis	9
0	CRUK0620_SU_LN1	16	IKBKE;CMTM6	0	metastasis	9
1	CRUK0620_SU_T1	16	IKBKE;CMTM6	0	primary	9
2	CRUK0620_SU_T2	16	IKBKE;CMTM6	0	primary	9
