anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	Primary LN 1	0	TP53;ERBB4	0	metastasis	327
1	Primary	0	TP53;ERBB4	0	primary	327
2	Scapula	0	TP53;ERBB4	0	metastasis	327
3	Primary LN 2	0	TP53;ERBB4	0	metastasis	327
4	Brain	0	TP53;ERBB4	0	metastasis	327
5	Rib	0	TP53;ERBB4	0	metastasis	327
0	Primary LN 1	1	DAZAP1;BRCA2	0	metastasis	74
1	Primary	1	DAZAP1;BRCA2	0	primary	74
2	Scapula	1	DAZAP1;BRCA2	0	metastasis	74
3	Primary LN 2	1	DAZAP1;BRCA2	0	metastasis	74
4	Brain	1	DAZAP1;BRCA2	1	metastasis	74
5	Rib	1	DAZAP1;BRCA2	0	metastasis	74
0	Primary LN 1	2	PIK3CG;PDGFRA	0	metastasis	59
1	Primary	2	PIK3CG;PDGFRA	1	primary	59
2	Scapula	2	PIK3CG;PDGFRA	0	metastasis	59
3	Primary LN 2	2	PIK3CG;PDGFRA	0	metastasis	59
4	Brain	2	PIK3CG;PDGFRA	0	metastasis	59
5	Rib	2	PIK3CG;PDGFRA	0	metastasis	59
0	Primary LN 1	3	GABRA6	0	metastasis	51
1	Primary	3	GABRA6	0	primary	51
2	Scapula	3	GABRA6	0	metastasis	51
3	Primary LN 2	3	GABRA6	0	metastasis	51
4	Brain	3	GABRA6	0	metastasis	51
5	Rib	3	GABRA6	0	metastasis	51
0	Primary LN 1	4	TRAF3;RXRA	0	metastasis	47
1	Primary	4	TRAF3;RXRA	0	primary	47
2	Scapula	4	TRAF3;RXRA	0	metastasis	47
3	Primary LN 2	4	TRAF3;RXRA	0	metastasis	47
4	Brain	4	TRAF3;RXRA	0	metastasis	47
5	Rib	4	TRAF3;RXRA	0	metastasis	47
0	Primary LN 1	5	MIB2;SGIP1	0	metastasis	46
1	Primary	5	MIB2;SGIP1	0	primary	46
2	Scapula	5	MIB2;SGIP1	0	metastasis	46
3	Primary LN 2	5	MIB2;SGIP1	1	metastasis	46
4	Brain	5	MIB2;SGIP1	0	metastasis	46
5	Rib	5	MIB2;SGIP1	0	metastasis	46
0	Primary LN 1	6	CNBD1;DICER1	0	metastasis	40
1	Primary	6	CNBD1;DICER1	1	primary	40
2	Scapula	6	CNBD1;DICER1	0	metastasis	40
3	Primary LN 2	6	CNBD1;DICER1	0	metastasis	40
4	Brain	6	CNBD1;DICER1	0	metastasis	40
5	Rib	6	CNBD1;DICER1	0	metastasis	40
0	Primary LN 1	7	RNF19B;OR10K1	0	metastasis	30
1	Primary	7	RNF19B;OR10K1	1	primary	30
2	Scapula	7	RNF19B;OR10K1	0	metastasis	30
3	Primary LN 2	7	RNF19B;OR10K1	0	metastasis	30
4	Brain	7	RNF19B;OR10K1	0	metastasis	30
5	Rib	7	RNF19B;OR10K1	0	metastasis	30
0	Primary LN 1	8	FAM110D;CACNA1E	0	metastasis	24
1	Primary	8	FAM110D;CACNA1E	0	primary	24
2	Scapula	8	FAM110D;CACNA1E	0	metastasis	24
3	Primary LN 2	8	FAM110D;CACNA1E	0	metastasis	24
4	Brain	8	FAM110D;CACNA1E	0	metastasis	24
5	Rib	8	FAM110D;CACNA1E	1	metastasis	24
0	Primary LN 1	9	SF3B1	0	metastasis	22
1	Primary	9	SF3B1	0	primary	22
2	Scapula	9	SF3B1	0	metastasis	22
3	Primary LN 2	9	SF3B1	0	metastasis	22
4	Brain	9	SF3B1	0	metastasis	22
5	Rib	9	SF3B1	1	metastasis	22
0	Primary LN 1	10	TMCO1;SYT2	0	metastasis	18
1	Primary	10	TMCO1;SYT2	0	primary	18
2	Scapula	10	TMCO1;SYT2	0	metastasis	18
3	Primary LN 2	10	TMCO1;SYT2	0	metastasis	18
4	Brain	10	TMCO1;SYT2	0	metastasis	18
5	Rib	10	TMCO1;SYT2	1	metastasis	18
0	Primary LN 1	11	ST6GALNAC3;HMCN1	0	metastasis	17
1	Primary	11	ST6GALNAC3;HMCN1	1	primary	17
2	Scapula	11	ST6GALNAC3;HMCN1	0	metastasis	17
3	Primary LN 2	11	ST6GALNAC3;HMCN1	0	metastasis	17
4	Brain	11	ST6GALNAC3;HMCN1	0	metastasis	17
5	Rib	11	ST6GALNAC3;HMCN1	0	metastasis	17
0	Primary LN 1	12	PAX5	0	metastasis	15
1	Primary	12	PAX5	1	primary	15
2	Scapula	12	PAX5	0	metastasis	15
3	Primary LN 2	12	PAX5	0	metastasis	15
4	Brain	12	PAX5	0	metastasis	15
5	Rib	12	PAX5	0	metastasis	15
0	Primary LN 1	13	PAPPA2;CENPF	1	metastasis	15
1	Primary	13	PAPPA2;CENPF	0	primary	15
2	Scapula	13	PAPPA2;CENPF	0	metastasis	15
3	Primary LN 2	13	PAPPA2;CENPF	0	metastasis	15
4	Brain	13	PAPPA2;CENPF	0	metastasis	15
5	Rib	13	PAPPA2;CENPF	0	metastasis	15
0	Primary LN 1	14	ACP1;GIGYF2	0	metastasis	13
1	Primary	14	ACP1;GIGYF2	1	primary	13
2	Scapula	14	ACP1;GIGYF2	0	metastasis	13
3	Primary LN 2	14	ACP1;GIGYF2	0	metastasis	13
4	Brain	14	ACP1;GIGYF2	0	metastasis	13
5	Rib	14	ACP1;GIGYF2	0	metastasis	13
0	Primary LN 1	15	MECOM;NF2	0	metastasis	13
1	Primary	15	MECOM;NF2	1	primary	13
2	Scapula	15	MECOM;NF2	0	metastasis	13
3	Primary LN 2	15	MECOM;NF2	0	metastasis	13
4	Brain	15	MECOM;NF2	0	metastasis	13
5	Rib	15	MECOM;NF2	0	metastasis	13
0	Primary LN 1	16	ITGA4;ANKRD31	1	metastasis	13
1	Primary	16	ITGA4;ANKRD31	0	primary	13
2	Scapula	16	ITGA4;ANKRD31	0	metastasis	13
3	Primary LN 2	16	ITGA4;ANKRD31	0	metastasis	13
4	Brain	16	ITGA4;ANKRD31	0	metastasis	13
5	Rib	16	ITGA4;ANKRD31	0	metastasis	13
0	Primary LN 1	17	DICER1	0	metastasis	13
1	Primary	17	DICER1	1	primary	13
2	Scapula	17	DICER1	0	metastasis	13
3	Primary LN 2	17	DICER1	0	metastasis	13
4	Brain	17	DICER1	0	metastasis	13
5	Rib	17	DICER1	0	metastasis	13
0	Primary LN 1	18	WNT6;EPHA6	0	metastasis	12
1	Primary	18	WNT6;EPHA6	0	primary	12
2	Scapula	18	WNT6;EPHA6	0	metastasis	12
3	Primary LN 2	18	WNT6;EPHA6	0	metastasis	12
4	Brain	18	WNT6;EPHA6	0	metastasis	12
5	Rib	18	WNT6;EPHA6	1	metastasis	12
0	Primary LN 1	19	CCDC28B;TPO	0	metastasis	11
1	Primary	19	CCDC28B;TPO	0	primary	11
2	Scapula	19	CCDC28B;TPO	1	metastasis	11
3	Primary LN 2	19	CCDC28B;TPO	0	metastasis	11
4	Brain	19	CCDC28B;TPO	0	metastasis	11
5	Rib	19	CCDC28B;TPO	1	metastasis	11
0	Primary LN 1	20	CHD1L;COL4A4	1	metastasis	11
1	Primary	20	CHD1L;COL4A4	0	primary	11
2	Scapula	20	CHD1L;COL4A4	0	metastasis	11
3	Primary LN 2	20	CHD1L;COL4A4	0	metastasis	11
4	Brain	20	CHD1L;COL4A4	0	metastasis	11
5	Rib	20	CHD1L;COL4A4	0	metastasis	11
0	Primary LN 1	21	ABL2;FN1	0	metastasis	10
1	Primary	21	ABL2;FN1	1	primary	10
2	Scapula	21	ABL2;FN1	0	metastasis	10
3	Primary LN 2	21	ABL2;FN1	0	metastasis	10
4	Brain	21	ABL2;FN1	0	metastasis	10
5	Rib	21	ABL2;FN1	0	metastasis	10
0	Primary LN 1	22	ARL6;PLXNA1	0	metastasis	9
1	Primary	22	ARL6;PLXNA1	1	primary	9
2	Scapula	22	ARL6;PLXNA1	0	metastasis	9
3	Primary LN 2	22	ARL6;PLXNA1	0	metastasis	9
4	Brain	22	ARL6;PLXNA1	0	metastasis	9
5	Rib	22	ARL6;PLXNA1	0	metastasis	9
0	Primary LN 1	23	FAT1	0	metastasis	8
1	Primary	23	FAT1	1	primary	8
2	Scapula	23	FAT1	0	metastasis	8
3	Primary LN 2	23	FAT1	0	metastasis	8
4	Brain	23	FAT1	0	metastasis	8
5	Rib	23	FAT1	0	metastasis	8
0	Primary LN 1	24	ARHGEF3;HIST1H2BG	0	metastasis	8
1	Primary	24	ARHGEF3;HIST1H2BG	1	primary	8
2	Scapula	24	ARHGEF3;HIST1H2BG	0	metastasis	8
3	Primary LN 2	24	ARHGEF3;HIST1H2BG	0	metastasis	8
4	Brain	24	ARHGEF3;HIST1H2BG	0	metastasis	8
5	Rib	24	ARHGEF3;HIST1H2BG	0	metastasis	8
0	Primary LN 1	25	ESYT3;SECISBP2	0	metastasis	7
1	Primary	25	ESYT3;SECISBP2	0	primary	7
2	Scapula	25	ESYT3;SECISBP2	0	metastasis	7
3	Primary LN 2	25	ESYT3;SECISBP2	1	metastasis	7
4	Brain	25	ESYT3;SECISBP2	0	metastasis	7
5	Rib	25	ESYT3;SECISBP2	0	metastasis	7
0	Primary LN 1	26	ZNF281;OTOF	0	metastasis	7
1	Primary	26	ZNF281;OTOF	0	primary	7
2	Scapula	26	ZNF281;OTOF	1	metastasis	7
3	Primary LN 2	26	ZNF281;OTOF	0	metastasis	7
4	Brain	26	ZNF281;OTOF	0	metastasis	7
5	Rib	26	ZNF281;OTOF	0	metastasis	7
0	Primary LN 1	27	CEP104;STON1-GTF2A1L	0	metastasis	6
1	Primary	27	CEP104;STON1-GTF2A1L	1	primary	6
2	Scapula	27	CEP104;STON1-GTF2A1L	0	metastasis	6
3	Primary LN 2	27	CEP104;STON1-GTF2A1L	0	metastasis	6
4	Brain	27	CEP104;STON1-GTF2A1L	0	metastasis	6
5	Rib	27	CEP104;STON1-GTF2A1L	0	metastasis	6
0	Primary LN 1	28	GJA8;VPS45	0	metastasis	6
1	Primary	28	GJA8;VPS45	1	primary	6
2	Scapula	28	GJA8;VPS45	0	metastasis	6
3	Primary LN 2	28	GJA8;VPS45	0	metastasis	6
4	Brain	28	GJA8;VPS45	0	metastasis	6
5	Rib	28	GJA8;VPS45	0	metastasis	6
0	Primary LN 1	29	DISC1;VCAN	0	metastasis	6
1	Primary	29	DISC1;VCAN	0	primary	6
2	Scapula	29	DISC1;VCAN	1	metastasis	6
3	Primary LN 2	29	DISC1;VCAN	0	metastasis	6
4	Brain	29	DISC1;VCAN	0	metastasis	6
5	Rib	29	DISC1;VCAN	0	metastasis	6
0	Primary LN 1	30	RABIF;TNC	0	metastasis	5
1	Primary	30	RABIF;TNC	1	primary	5
2	Scapula	30	RABIF;TNC	0	metastasis	5
3	Primary LN 2	30	RABIF;TNC	0	metastasis	5
4	Brain	30	RABIF;TNC	0	metastasis	5
5	Rib	30	RABIF;TNC	0	metastasis	5
0	Primary LN 1	31	ZYX;AKNA	0	metastasis	5
1	Primary	31	ZYX;AKNA	1	primary	5
2	Scapula	31	ZYX;AKNA	0	metastasis	5
3	Primary LN 2	31	ZYX;AKNA	0	metastasis	5
4	Brain	31	ZYX;AKNA	0	metastasis	5
5	Rib	31	ZYX;AKNA	0	metastasis	5
