tumour_id	seedingClonality	seedingPhyletic	multiTreeAdjustment
CRUK0010	monoclonal	monophyletic	monophyletic
CRUK0013	monoclonal	monophyletic	monophyletic
CRUK0284	monoclonal	monophyletic	monophyletic
CRUK0361	monoclonal	monophyletic	monophyletic
CRUK0497	monoclonal	monophyletic	monophyletic
CRUK0452	monoclonal	monophyletic	monophyletic
CRUK0472	polyclonal	monophyletic	monophyletic
CRUK0484	polyclonal	polyphyletic	polyphyletic
CRUK0418	polyclonal	polyphyletic	polyphyletic
CRUK0721_Tumour1	monoclonal	monophyletic	monophyletic
CRUK0702	monoclonal	monophyletic	monophyletic
CRUK0794	monoclonal	monophyletic	monophyletic
CRUK0004	monoclonal	monophyletic	monophyletic
CRUK0027	polyclonal	polyphyletic	polyphyletic
CRUK0044	monoclonal	monophyletic	monophyletic
CRUK0052	monoclonal	monophyletic	monophyletic
CRUK0100	monoclonal	monophyletic	monophyletic
CRUK0036	monoclonal	monophyletic	monophyletic
CRUK0083	monoclonal	monophyletic	monophyletic
CRUK0178	polyclonal	polyphyletic	polyphyletic
CRUK0286	monoclonal	monophyletic	monophyletic
CRUK0256	monoclonal	monophyletic	monophyletic
CRUK0227	monoclonal	monophyletic	monophyletic
CRUK0236	monoclonal	monophyletic	monophyletic
CRUK0352	polyclonal	monophyletic	mixed
CRUK0388	monoclonal	monophyletic	monophyletic
CRUK0343	monoclonal	monophyletic	monophyletic
CRUK0422	monoclonal	monophyletic	monophyletic
CRUK0485	monoclonal	monophyletic	monophyletic
CRUK0478	polyclonal	monophyletic	mixed
CRUK0598	monoclonal	monophyletic	monophyletic
CRUK0590	polyclonal	monophyletic	monophyletic
CRUK0543	polyclonal	polyphyletic	polyphyletic
CRUK0524	monoclonal	monophyletic	monophyletic
CRUK0567	monoclonal	monophyletic	monophyletic
CRUK0620_Tumour1	polyclonal	monophyletic	monophyletic
CRUK0625	monoclonal	monophyletic	monophyletic
CRUK0691	monoclonal	monophyletic	monophyletic
CRUK0693	monoclonal	monophyletic	monophyletic
CRUK0609	polyclonal	monophyletic	monophyletic
CRUK0617	monoclonal	monophyletic	monophyletic
CRUK0698	monoclonal	monophyletic	monophyletic
CRUK0799	polyclonal	polyphyletic	polyphyletic
CRUK0766	monoclonal	monophyletic	monophyletic
CRUK0769	monoclonal	monophyletic	monophyletic
CRUK0714	monoclonal	monophyletic	monophyletic
CRUK0722	monoclonal	monophyletic	monophyletic
CRUK0719	monoclonal	monophyletic	monophyletic
CRUK0003	monoclonal	monophyletic	monophyletic
CRUK0089	monoclonal	monophyletic	monophyletic
CRUK0290	polyclonal	monophyletic	monophyletic
CRUK0468	monoclonal	monophyletic	monophyletic
CRUK0410	monoclonal	monophyletic	monophyletic
CRUK0412	monoclonal	monophyletic	monophyletic
CRUK0415	polyclonal	polyphyletic	polyphyletic
CRUK0745	monoclonal	monophyletic	monophyletic
CRUK0084_Tumour2	monoclonal	monophyletic	monophyletic
CRUK0009	monoclonal	monophyletic	monophyletic
CRUK0296	monoclonal	monophyletic	monophyletic
CRUK0097	monoclonal	monophyletic	monophyletic
CRUK0087	monoclonal	monophyletic	monophyletic
CRUK0245	polyclonal	monophyletic	mixed
